City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
396,Luanda,AO,80.6,few clouds,-8.8368,13.2343,Hotel Fórum
397,Nelson Bay,AU,66.69,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
404,Kendari,ID,76.06,broken clouds,-3.945,122.4989,Hotel Wixel
406,Saint-Paul,RE,77.11,scattered clouds,-21.0096,55.2707,Boucan Canot
408,South Valley,US,71.31,scattered clouds,35.0101,-106.6781,desert palms rv park
410,Annamalainagar,IN,81.64,broken clouds,11.4,79.7333,Hotel Akshaya
412,Biu,NG,79.02,light rain,10.6129,12.1946,Emir's Palace
415,Weligama,LK,79.34,clear sky,5.9667,80.4167,Weligama Bay Resort
424,Puerto Escondido,MX,80.83,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
429,That Phanom,TH,66.97,broken clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
431,Bubaque,GW,84.34,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
436,Batangafo,CF,79.7,scattered clouds,7.3008,18.2833,OCHA Office
441,Machakos,KE,70.21,broken clouds,-1.5167,37.2667,Machakos Suites Luxury Hotel
443,Pedernales,DO,87.26,scattered clouds,18.0384,-71.744,Hotel Costa Marina
445,Kismayo,SO,78.69,scattered clouds,-0.3582,42.5454,Agan-Hotel
447,Villarrica,PY,76.75,overcast clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
448,Ambilobe,MG,78.26,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
454,Faya,SA,65.39,clear sky,18.3851,42.4509,املاك خالد الشعشوع
455,Mount Isa,AU,74.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
456,Santa Rosa,PH,80.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
457,Pontianak,ID,76.98,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
460,Itarema,BR,89.82,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
