City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Tiksi,RU,71.6872,128.8694,-2.13,100,98,4.03,overcast clouds
208,Nanortalik,GL,60.1432,-45.2371,36.84,73,29,6.49,scattered clouds
209,Kahului,US,20.8947,-156.47,74.84,90,56,5.99,light rain
210,Fortuna,US,40.5982,-124.1573,54.66,90,20,11.01,few clouds
211,Takoradi,GH,4.8845,-1.7554,79.65,79,92,8.43,light rain
212,Kavaratti,IN,10.5669,72.642,82.13,76,85,3.69,overcast clouds
213,Dalbandin,PK,28.8947,64.4101,64.89,15,0,4.85,clear sky
214,Lagoa,PT,39.05,-27.9833,67.28,73,7,13.87,clear sky
215,Hay River,CA,60.8156,-115.7999,39.45,69,91,12.68,overcast clouds
216,Porto Novo,BJ,6.4965,2.6036,78.06,84,97,4.29,light rain
217,Kotido,UG,2.9806,34.1331,82.47,33,64,16.78,broken clouds
218,Mahmudabad,IN,27.3,81.1167,75.16,60,0,3.53,clear sky
219,Ust-Kuyga,RU,70.0167,135.6,-4.99,99,89,0.96,overcast clouds
220,Acarau,BR,-2.8856,-40.12,89.6,54,75,16.98,broken clouds
221,Biak,ID,-0.9131,122.8766,76.89,77,98,3.47,overcast clouds
222,Tabuk,PH,17.4189,121.4443,73.42,93,100,3.04,overcast clouds
223,Sheksna,RU,59.21,38.5107,37.36,84,100,6.42,overcast clouds
224,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,75,56,6.17,broken clouds
225,Beloha,MG,-25.1667,45.05,73.9,69,17,8.59,few clouds
226,Mongo,TD,12.1844,18.693,92.53,29,19,4.63,few clouds
227,Beira,MZ,-19.8436,34.8389,77.92,78,0,13.78,clear sky
228,Derzhavinsk,KZ,51.1,66.3167,51.82,71,16,19.04,few clouds
229,Lavrentiya,RU,65.5833,-171.0,24.84,85,100,9.55,overcast clouds
230,Winslow,US,35.0242,-110.6974,57.96,41,1,1.01,clear sky
231,Avera,US,33.194,-82.5271,69.69,51,0,6.42,clear sky
232,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,87,90,9.22,overcast clouds
233,Belokurikha,RU,51.9959,84.9896,40.64,57,100,4.52,light rain
234,Coahuayana,MX,18.7333,-103.6833,84.76,70,95,2.64,overcast clouds
235,Nueva Guinea,NI,11.6876,-84.4562,81.39,80,54,8.5,light rain
236,Adrar,MR,20.5022,-10.0711,90.23,13,31,1.39,scattered clouds
237,Nanakuli,US,21.3906,-158.1547,76.1,88,40,0.0,scattered clouds
238,Makakilo City,US,21.3469,-158.0858,73.69,86,40,0.0,scattered clouds
239,Hereford,GB,52.0568,-2.7148,55.26,58,100,14.18,overcast clouds
240,Mao,ES,39.8885,4.2658,64.96,68,20,12.66,few clouds
241,Payo,ID,-3.7508,103.6372,73.71,97,91,2.21,overcast clouds
242,Roswell,US,34.0232,-84.3616,68.88,62,0,5.06,clear sky
243,Najran,SA,17.4924,44.1277,73.76,19,1,7.25,clear sky
244,Uzhur,RU,55.3036,89.8339,39.58,61,99,21.52,overcast clouds
245,Olafsvik,IS,64.8945,-23.7142,45.5,90,99,12.12,light rain
246,Ejido,VE,8.5514,-71.2375,78.66,70,38,5.77,scattered clouds
247,Boralday,KZ,43.3578,76.8594,35.46,87,0,0.0,mist
248,Dakar,SN,14.6937,-17.4441,94.08,58,0,13.8,clear sky
249,Fereydunshahr,IR,32.941,50.121,45.79,27,0,3.85,clear sky
250,Say,NE,13.1007,2.3689,96.55,31,87,12.84,overcast clouds
251,Beyneu,KZ,45.3167,55.2,56.75,20,0,11.95,clear sky
252,Beaupre,CA,47.0443,-70.8953,47.86,69,99,3.71,overcast clouds
253,Garden City,US,42.3256,-83.331,54.0,74,90,3.0,overcast clouds
254,Vardo,NO,70.3705,31.1107,30.4,69,100,11.61,overcast clouds
255,Batie,BF,9.8833,-2.9167,85.37,57,87,4.97,overcast clouds
256,West Bay,KY,19.3667,-81.4167,88.07,70,69,14.56,broken clouds
257,Kutahya,TR,39.4242,29.9833,56.59,40,0,5.12,clear sky
258,Kallithea,GR,37.95,23.7,75.09,69,0,1.99,clear sky
259,Tuskegee,US,32.424,-85.6916,71.1,90,0,1.99,clear sky
260,Chokurdakh,RU,70.6333,147.9167,-4.52,95,100,5.61,overcast clouds
261,Blackwater,AU,-23.5833,148.8833,75.87,74,98,3.85,overcast clouds
262,Severo-Kurilsk,RU,50.6789,156.125,37.38,75,38,7.92,scattered clouds
263,Mahibadhoo,MV,3.7833,72.9667,83.23,71,37,13.78,scattered clouds
264,Namibe,AO,-15.1961,12.1522,71.64,58,52,16.58,broken clouds
265,Dikson,RU,73.5069,80.5464,10.49,87,100,12.75,overcast clouds
266,Erdenet,MN,49.0333,104.0833,32.85,46,58,1.86,broken clouds
267,Road Town,VG,18.4167,-64.6167,86.2,62,20,9.22,few clouds
268,Mount Gambier,AU,-37.8333,140.7667,46.13,94,17,6.42,few clouds
269,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.17,79,33,14.0,scattered clouds
270,Baillif,GP,16.0202,-61.7463,85.5,68,39,13.82,scattered clouds
271,Tonekabon,IR,36.8163,50.8738,64.71,69,0,2.19,clear sky
272,Lompoc,US,34.6391,-120.4579,61.38,93,40,4.61,mist
273,Tangara,BR,-6.1994,-35.8017,96.67,30,45,12.53,scattered clouds
274,Bengkulu,ID,-3.8004,102.2655,76.37,90,74,3.8,broken clouds
275,Ibra,OM,22.6906,58.5334,83.37,39,30,8.81,scattered clouds
276,Ngunguru,NZ,-35.6167,174.5,61.16,97,100,19.04,overcast clouds
277,Naryan-Mar,RU,67.6713,53.087,27.55,83,35,12.62,scattered clouds
278,Vangaindrano,MG,-23.35,47.6,72.32,91,10,6.24,clear sky
279,Nianzishan,CN,47.5167,122.8833,42.51,46,0,4.83,clear sky
280,Hobyo,SO,5.3505,48.5268,80.47,75,12,10.45,few clouds
281,Berlevag,NO,70.8578,29.0864,34.79,73,100,16.89,light rain
282,Disna,BY,55.568,28.1971,43.11,74,100,14.76,overcast clouds
283,Vila Velha,BR,-20.3297,-40.2925,77.0,73,36,12.95,scattered clouds
284,Kruisfontein,ZA,-34.0033,24.7314,62.89,71,2,23.31,clear sky
285,Peniche,PT,39.3558,-9.3811,77.61,66,95,10.31,overcast clouds
286,Amahai,ID,-3.3333,128.9167,78.78,85,96,2.28,overcast clouds
287,Gaoua,BF,10.2992,-3.2508,85.48,58,100,3.89,overcast clouds
288,Saint George,US,37.1041,-113.5841,68.47,41,1,4.61,clear sky
289,Trabzon,TR,40.9167,39.8333,55.49,77,0,4.61,clear sky
290,Hithadhoo,MV,-0.6,73.0833,82.33,74,99,11.79,overcast clouds
291,Koulikoro,ML,14.0,-7.75,89.13,45,100,8.48,overcast clouds
